position_lat_gc_deg,position_long_gc_deg,position_h_sl_meters,attitude_roll_rad,attitude_pitch_rad,attitude_psi_rad,aero_alpha_rad,aero_beta_rad,velocities_p_rad_sec,velocities_q_rad_sec,velocities_r_rad_sec,fcs_aileron_cmd_norm,fcs_elevator_cmd_norm,fcs_throttle_cmd_norm,fcs_effective_aileron_pos,fcs_elevator_pos_rad,fcs_throttle_pos_norm,fcs_effective_aileron_pos_norm,fcs_elevator_pos_norm,reward_total,reward_roll,reward_pitch,reward_act_var,velocities_vt_mps,velocities_vt_kph,atmosphere_total_wind_north_mps,atmosphere_total_wind_east_mps,atmosphere_total_wind_down_mps,atmosphere_total_wind_north_kph,atmosphere_total_wind_east_kph,atmosphere_total_wind_down_kph,atmosphere_turb_north_mps,atmosphere_turb_east_mps,atmosphere_turb_down_mps,atmosphere_turb_north_kph,atmosphere_turb_east_kph,atmosphere_turb_down_kph,target_roll_rad,target_pitch_rad,error_roll_err,error_pitch_err,error_roll_integ_err,error_pitch_integ_err
1.5242976467198553e-06,-7.411704198973853e-18,600.0000026132763,9.693233290263704e-20,2.6783293644152115e-08,3.9109248714491137e-23,0.003307735280067479,2.412034206785727e-09,-9.703609443745265e-18,0.05946277830192624,-1.5917551455354009e-21,-0.05410127341747284,0.024380948394536972,0.0,-0.003617842535343889,0.0016303947501038402,0.0,-0.006910873720727589,0.0031144120073854577,-0.5080847258991077,0.2908882086657216,0.21719651723338607,nan,16.964131644824104,61.071401536066865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.9599310885968813,0.48869216377511865,0.009599310885968812,0.004886921637751187
3.0475944900978856e-06,1.4115026503864764e-14,599.9989257043094,-6.471708551400159e-14,0.0005946813145002626,6.283185306962782,0.0066957811067061964,-5.128055286974506e-06,-0.004931945867594558,0.11176733753790342,0.005268005152350772,1.0,-1.0,0.0,0.05686313539984644,-0.06236128545332252,0.0,0.10862107575824051,-0.11912374975413156,-0.5078204349963689,0.2908882086657412,0.2169322263306276,nan,16.958462703384555,61.05099317057032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.959931088596946,0.48809750924391204,0.019198621771938273,0.009767896730190307
4.570573204366699e-06,-1.4966620814590583e-11,599.9976907858194,-4.925872159570691e-05,0.0017123826496633092,5.265192639363029e-05,0.010863228064658418,2.647221472734652e-05,0.07438625710016973,0.1964277529933876,-0.07951563651094314,1.0,-1.0,0.0,0.24158278215127485,-0.24723290855174512,0.0,0.4614761654878954,-0.47226914768055117,-0.5073386057327198,0.2909031355510536,0.2164354701816662,nan,16.9505073862242,61.02235378136851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.9599803473184769,0.48697980790874895,0.028798425245123042,0.014637694809277797
6.092602521302497e-06,2.2791047051275361e-10,599.9958635683627,0.0006924628204725423,0.003676941487243512,6.2824434313768736,0.016894898850241896,0.0011138108005590433,0.37513166026200473,0.38375275176992146,-0.3998349493642934,1.0,-1.0,0.0,0.4368711870541808,-0.4396764919424626,0.0,0.8345199041861625,-0.8398786525677342,-0.506240704367916,0.2906783714473966,0.21556233292051946,nan,16.93665220317485,60.97247469147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.9592386257764087,0.4850152490711688,0.03839081150288713,0.019487847299989487
7.612893216861043e-06,1.1135326897492046e-09,599.9932096424193,0.004421435741023265,0.007524693761500684,6.278454863032466,0.025180470243876686,0.0055388811095874076,0.8255924312200884,0.6738083748904551,-0.8762563868285832,1.0,-0.9770190715789795,0.0,0.5235,-0.5235,0.0,0.9999999606,-0.9999999606,-0.5034006004519177,0.28954837965329033,0.2138522207986274,nan,16.917922668123374,60.905047782762786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.955509652855858,0.4811674967969116,0.04794590803144571,0.024299522267958604
9.131197644168072e-06,2.4656598014000134e-09,599.9898157736778,0.012582157433519578,0.01433696972656016,6.269749558072733,0.035378381810459276,0.01476425187859014,1.2144878692494283,1.0009291829921605,-1.2808843381389743,1.0,-0.8487353920936584,0.0,0.5235,-0.5235,0.0,0.9999999606,-0.9999999606,-0.49789997627780147,0.2870754336858672,0.21082454259193428,nan,16.897928173165397,60.83306697904968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.9473489311633617,0.4743552208318521,0.057419397343079326,0.029043074476277124
1.0647694982229751e-05,3.855767672035276e-09,599.9859979539335,0.024481260720230373,0.02458164260857918,6.257126564962585,0.04717901248816194,0.02812217887364404,1.4387876320231376,1.3159965679690646,-1.5039056393510775,1.0,-0.6903493404388428,0.0,0.5235,-0.49210351085797926,0.0,0.9999999606,-0.9400257716697248,-0.48974099945547656,0.2834696448111063,0.20627135464437027,nan,16.878069343606995,60.76157457499447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.9354498278766509,0.4641105479498331,0.06677389562184584,0.03368417995577545
1.2162431553465802e-05,5.143220100005586e-09,599.9820081322879,0.03840982814213419,0.03820739383846041,6.242502464023731,0.060269904803372375,0.043922252612032205,1.5543789105291825,1.597316373540105,-1.606637560970469,1.0,-0.508196234703064,0.0,0.5235,-0.4099207949976465,0.0,0.9999999606,-0.7830387370520863,-0.4794643320133363,0.2792488668044688,0.20021546520886752,nan,16.85817468295803,60.68995317789883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.921521260454747,0.4504847967199519,0.0759891082263933,0.038189027922974975
1.3675393123692444e-05,6.49664714931918e-09,599.9780972177535,0.05323971733247881,0.054898899900903915,6.227169342221492,0.07386210220717761,0.06098196707990605,1.599116411411042,1.8118907209646542,-1.6306132371069149,1.0,-0.33247923851013184,0.0,0.523311987807937,-0.3140373300403244,0.0,0.9996408160256822,-0.5998802629746965,-0.4675519790592166,0.27475496098921287,0.1927970180700037,nan,16.839358126096474,60.62221298796881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.9066913712644025,0.4337932906575084,0.08505602193903733,0.042526960829550056
1.5186853475545159e-05,8.044094994017672e-09,599.9746638290317,0.06825132792177106,0.07397313816422654,6.211963153291168,0.08738628017149676,0.07850980204259171,1.5989195790324027,1.951205162711121,-1.6043121162802338,1.0,-0.1788991242647171,0.0,0.5212073294225691,-0.21739376974449848,0.0,0.9956204563266482,-0.415269839883828,-0.45452556692522705,0.27020598808336677,0.18431957884186032,nan,16.82124815176922,60.55701651713824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.8916797606751102,0.4147190523941857,0.09397281954578843,0.04667415135349191
1.669683285542492e-05,1.004299973029363e-08,599.9719880055785,0.08301293134209328,0.09464025719211264,6.197389953633256,0.10024679023970162,0.09597666142839391,1.5691226672244412,2.0159449489590022,-1.5447031375061342,1.0,-0.050266366451978683,0.0,0.52179496512179,-0.12902749962455753,0.0,0.9967429695569597,-0.24647085872182245,-0.4408669675329376,0.2657327749256933,0.17513419260724428,nan,16.803512407907736,60.493167287623685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.8769181572547879,0.3940519333662996,0.10274200111833631,0.05061467068715491
1.8205345656254642e-05,1.2822827787277054e-08,599.9703550974369,0.09726868584457937,0.1161069250300566,6.183746086144172,0.1119537320263681,0.11301909565075442,1.5263841734916257,2.0132059271514033,-1.470067311236896,1.0,0.05216105654835701,0.0,0.5228291745651424,-0.05378536983408714,0.0,0.9987185367061566,-0.102741867650322,-0.42700630066481526,0.26141284931887937,0.16559345134593587,nan,16.78572687997937,60.42913883391999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.8626624027523019,0.3725852655283557,0.11136862514585934,0.05434052334243847
1.9712308968367147e-05,1.6778137131588782e-08,599.9699996742279,0.11093397768158768,0.13765615983007048,6.171116711958472,0.12212868554580118,0.1294494778123716,1.4784759820658022,1.9539267455191598,-1.3890423724648027,1.0,0.1299320012331009,0.0,0.5234588237701029,0.006872132115451721,0.0,0.9999213049585964,0.01312728146072534,-0.413287865449554,0.2572718517925132,0.1560160136570408,nan,16.767481251664314,60.36345400451426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.8489971109152936,0.3510360307283418,0.11985859625501227,0.057850883649721886
2.1217561423964132e-05,2.2301164280156963e-08,599.9711088498026,0.12400124808471397,0.15868737878021344,6.1594855907904105,0.13051221457170015,0.14516910704900818,1.429239274818611,1.8502413363627124,-1.3060036476580352,1.0,0.18544450402259827,0.0,0.5235,0.053453516596853774,0.0,0.9999999606,0.10210795509223537,-0.39998087811723004,0.253312072882475,0.14666880523475503,nan,16.747971599439857,60.293218649721275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.8359298405121673,0.33000481177819885,0.12821789466013395,0.06115093176750387
2.2720798557242687e-05,2.9783698237707154e-08,599.9738213000626,0.13649712304453193,0.17872816915785503,6.14878830860874,0.13695852308465484,0.16012664433743132,1.3807963343711631,1.713973118665665,-1.2234593285568016,1.0,0.2213289886713028,0.0,0.5235,0.08735385499202546,0.0,0.9999999606,0.16686504594132487,-0.38728723139590904,0.24952544410677252,0.13776178728913654,nan,16.724399891878637,60.208359769378816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.8234339655523493,0.30996402140055723,0.13645223431565745,0.06425057198150945
2.4221289262230353e-05,3.9592612361393765e-08,599.9782276774049,0.1484631322990972,0.1974305543501559,6.138938528773575,0.1415587765478175,0.17430274645034946,1.335018327387151,1.5559732785488638,-1.1436309279076795,1.0,0.24007007479667664,0.013968785055925623,0.5235,0.11017963668462116,0.00034070207453477133,0.9999999606,0.21046730151584236,-0.3753489967888566,0.2458993806962982,0.1294496160925584,nan,16.698404962373402,60.11477721467138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.811467956297784,0.2912616362082564,0.1445669138786353,0.06716318834359201
2.5718889937583343e-05,5.200899622028795e-08,599.98433252711,0.15995117871720183,0.21456145758283382,6.129835979300082,0.1442617670861603,0.1877017274188957,1.2930104433425575,1.3856742057048566,-1.0678856175657763,1.0,0.2444845288991928,0.0606452851949736,0.5235,0.12347171244527028,0.0021439378331159836,0.9999999606,0.23585808515851922,-0.3642540358314731,0.24241815450899376,0.1218358813224793,nan,16.67046910954242,60.01420727562507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.7999799098796794,0.27413073297557844,0.1525667129774321,0.0699044956733478
2.7213233326106342e-05,6.732667384055983e-08,599.9921591671587,0.1710164848713845,0.22998742327413968,6.121378004142213,0.14514654767181223,0.20034567441618434,1.2552655138799906,1.2113280094352572,-0.9969038108105075,1.0,0.23707103729248047,0.11091604744250318,0.5234899586796132,0.12867538039763868,0.006223778247048785,0.9999807794729874,0.2457982336730252,-0.35404492800275655,0.23906503143196875,0.11497989657078783,nan,16.64113783646798,59.90861378030227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,0.7889146037254968,0.2587047672842726,0.16045585901468706,0.07249154334619053
